edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(1725354775, 43164935, 0)",0.00045287193864712854,GBR01_GBRTI11,Noord-Brabant,1725354775.0,43164935.0,4553.428571428572
"(43165602, 43166869, 0)",0.0001659613788135756,GBR01_GBRTI12,Noord-Brabant,43165602.0,43166869.0,4561.142857142857
"(43439974, 43337307, 0)",8.540755795767121e-05,GEO0C_TIID_8420,Noord-Brabant,43439974.0,43337307.0,5938.071428571428
"(43336242, 43421551, 0)",0.00033493570359622985,GEO0C_TIID_8424,Noord-Brabant,43336242.0,43421551.0,5372.857142857143
"(5983127346, 42837199, 0)",0.0002606399775277867,GEO0C_Z_0_RWSTI356971,Noord-Brabant,5983127346.0,42837199.0,
"(43382161, 43380281, 0)",1.6699432806329933e-05,GEO0C_Z_0_RWSTI361220,Noord-Brabant,43382161.0,43380281.0,
"(43601912, 43618106, 0)",0.00018273506976882107,GEO0C_Z_0_RWSTI361226,Noord-Brabant,43601912.0,43618106.0,
"(43091391, 2798986809, 0)",0.00012857458262087305,GEO0C_Z_1_RWSTI358164,Noord-Brabant,43091391.0,2798986809.0,
"(519959955, 709289724, 0)",0.00019891114637469337,GEO0C_Z_1_RWSTI361029,Noord-Brabant,519959955.0,709289724.0,
"(43382161, 43365329, 0)",0.00017970614485169316,GEO0C_Z_1_RWSTI361220,Noord-Brabant,43382161.0,43365329.0,
"(43601912, 43619696, 0)",0.00018822683223393104,GEO0C_Z_1_RWSTI361226,Noord-Brabant,43601912.0,43619696.0,
"(42523311, 42501005, 0)",0.0020186633605669877,GEO0C_Z_RWSTI1013,Noord-Brabant,42523311.0,42501005.0,3625.9285714285716
"(7958755369, 42495546, 0)",0.003974048569892346,GEO0C_Z_RWSTI1063,Noord-Brabant,7958755369.0,42495546.0,4400.071428571428
"(42495546, 42481980, 0)",0.004171038801015498,GEO0C_Z_RWSTI1067,Noord-Brabant,42495546.0,42481980.0,2438.0714285714284
"(42481980, 1424430068, 0)",0.6911778797411701,GEO0C_Z_RWSTI1070,Noord-Brabant,42481980.0,1424430068.0,3052.785714285714
"(1424430068, 42436039, 0)",0.45241412643329837,GEO0C_Z_RWSTI1072,Noord-Brabant,1424430068.0,42436039.0,1846.0
"(42357853, 42361998, 0)",430.25039354355175,GEO0C_Z_RWSTI1078,Noord-Brabant,42357853.0,42361998.0,1862.5
"(43308750, 43336242, 0)",0.8758435868103297,GEO0C_Z_RWSTI1148,Noord-Brabant,43308750.0,43336242.0,3984.785714285714
"(43125997, 43308750, 0)",0.00013200920708232537,GEO0C_Z_RWSTI1154,Noord-Brabant,43125997.0,43308750.0,2377.8571428571427
"(793738584, 42600029, 0)",4.246312079045789,GEO0C_Z_RWSTI142,Noord-Brabant,793738584.0,42600029.0,2127.5714285714284
"(42820407, 42835839, 0)",0.3018886244618343,GEO0C_Z_RWSTI1502,Noord-Brabant,42820407.0,42835839.0,5244.5
"(1404798254, 43632848, 0)",0.0008649204719190866,GEO0C_Z_RWSTI1551,Noord-Brabant,1404798254.0,43632848.0,7856.857142857143
"(43283867, 43396642, 0)",0.010510571572868208,GEO0C_Z_RWSTI177,Noord-Brabant,43283867.0,43396642.0,3923.214285714286
"(762778051, 42772055, 0)",0.0049779082460601875,GEO0C_Z_RWSTI188,Noord-Brabant,762778051.0,42772055.0,2759.5
"(762778051, 42772055, 0)",21.57017497513498,GEO0C_Z_RWSTI189,Noord-Brabant,762778051.0,42772055.0,4072.0
"(43525597, 43465553, 0)",0.009635708086031577,GEO0C_Z_RWSTI196,Noord-Brabant,43525597.0,43465553.0,4438.357142857143
"(6792429857, 1540813761, 0)",0.00012359059918162522,GEO0C_Z_RWSTI2001,Noord-Brabant,6792429857.0,1540813761.0,1838.857142857143
"(1540813761, 1540813515, 0)",0.00019934539241507667,GEO0C_Z_RWSTI2003,Noord-Brabant,1540813761.0,1540813515.0,4669.357142857143
"(1540813705, 287935026, 0)",0.00011240238215051368,GEO0C_Z_RWSTI2010,Noord-Brabant,1540813705.0,287935026.0,4084.0
"(287935026, 280325620, 0)",8.103596006559621e-05,GEO0C_Z_RWSTI2012,Noord-Brabant,287935026.0,280325620.0,1171.9285714285713
"(43297002, 43255659, 0)",1.5287343046795707,GEO0C_Z_RWSTI205,Noord-Brabant,43297002.0,43255659.0,3434.714285714286
"(43109837, 43070012, 0)",1.8709057976475618,GEO0C_Z_RWSTI207,Noord-Brabant,43109837.0,43070012.0,3816.285714285714
"(42960474, 43009268, 0)",0.020060000392203993,GEO0C_Z_RWSTI218,Noord-Brabant,42960474.0,43009268.0,5600.357142857143
"(43028128, 43049109, 0)",0.011973489752685949,GEO0C_Z_RWSTI219,Noord-Brabant,43028128.0,43049109.0,4298.285714285715
"(43063562, 43112267, 0)",0.8125839677614903,GEO0C_Z_RWSTI220,Noord-Brabant,43063562.0,43112267.0,4074.285714285714
"(43462491, 43523391, 0)",0.03134685299643409,GEO0C_Z_RWSTI230,Noord-Brabant,43462491.0,43523391.0,4851.857142857143
"(4680714865, 43185491, 0)",2.431479787568269,GEO0C_Z_RWSTI250,Noord-Brabant,4680714865.0,43185491.0,6447.928571428572
"(43185491, 43199132, 0)",0.5051602878703917,GEO0C_Z_RWSTI252,Noord-Brabant,43185491.0,43199132.0,4695.785714285715
"(43199132, 1297819424, 0)",0.0001856321889535923,GEO0C_Z_RWSTI255,Noord-Brabant,43199132.0,1297819424.0,5703.214285714285
"(1297819424, 43281196, 0)",6.731126484889534e-05,GEO0C_Z_RWSTI257,Noord-Brabant,1297819424.0,43281196.0,4600.571428571428
"(43315911, 43317052, 0)",0.0003478609445743889,GEO0C_Z_RWSTI264,Noord-Brabant,43315911.0,43317052.0,184.35714285714286
"(4753698165, 43324006, 0)",0.0003813866509612691,GEO0C_Z_RWSTI266,Noord-Brabant,4753698165.0,43324006.0,1211.642857142857
"(43324006, 43366083, 0)",0.0006505896768986862,GEO0C_Z_RWSTI267,Noord-Brabant,43324006.0,43366083.0,6998.928571428572
"(43381187, 43394402, 0)",0.13319117184872142,GEO0C_Z_RWSTI270,Noord-Brabant,43381187.0,43394402.0,1300.5
"(43434430, 43451282, 0)",0.00010507674165208657,GEO0C_Z_RWSTI272,Noord-Brabant,43434430.0,43451282.0,4585.5
"(43451282, 43601912, 0)",0.00025645677805648893,GEO0C_Z_RWSTI275,Noord-Brabant,43451282.0,43601912.0,5761.785714285715
"(43451282, 43601912, 0)",0.0003341792010304133,GEO0C_Z_RWSTI277,Noord-Brabant,43451282.0,43601912.0,5978.5
"(43700625, 43725509, 0)",0.024925105941843204,GEO0C_Z_RWSTI286,Noord-Brabant,43700625.0,43725509.0,6070.142857142857
"(43841720, 43848762, 0)",0.0010136664527177876,GEO0C_Z_RWSTI293,Noord-Brabant,43841720.0,43848762.0,6533.571428571428
"(1409103803, 1409103636, 0)",1.273126055085871,GEO0C_Z_RWSTI307,Noord-Brabant,1409103803.0,1409103636.0,3584.6428571428573
"(43633306, 43617398, 0)",4.698096186524867e-05,GEO0C_Z_RWSTI309,Noord-Brabant,43633306.0,43617398.0,593.2142857142857
"(43615078, 43462706, 0)",1.2717815225260158,GEO0C_Z_RWSTI311,Noord-Brabant,43615078.0,43462706.0,6732.214285714285
"(43615078, 43462706, 0)",4.9307795056137565e-05,GEO0C_Z_RWSTI313,Noord-Brabant,43615078.0,43462706.0,6441.0
"(43462706, 43437411, 0)",0.00015135825362141224,GEO0C_Z_RWSTI317,Noord-Brabant,43462706.0,43437411.0,5082.785714285715
"(43382161, 43365329, 0)",2.1792269088226098e-05,GEO0C_Z_RWSTI319,Noord-Brabant,43382161.0,43365329.0,5735.285714285715
"(43365329, 43324401, 0)",0.00313120939352947,GEO0C_Z_RWSTI322,Noord-Brabant,43365329.0,43324401.0,8483.642857142857
"(43324401, 43321023, 0)",0.0002202451291336971,GEO0C_Z_RWSTI323,Noord-Brabant,43324401.0,43321023.0,7665.285714285715
"(43283024, 4753711721, 0)",2.1548281255977832e-05,GEO0C_Z_RWSTI330,Noord-Brabant,43283024.0,4753711721.0,6674.285714285715
"(4753711721, 43215395, 0)",0.00019464361079428113,GEO0C_Z_RWSTI333,Noord-Brabant,4753711721.0,43215395.0,8288.857142857143
"(43215395, 43202137, 0)",0.3540122866053388,GEO0C_Z_RWSTI334,Noord-Brabant,43215395.0,43202137.0,6111.923076923077
"(43202137, 43078201, 0)",1.839422527084205,GEO0C_Z_RWSTI338,Noord-Brabant,43202137.0,43078201.0,7351.5
"(43078201, 43069939, 0)",0.9021092563218772,GEO0C_Z_RWSTI340,Noord-Brabant,43078201.0,43069939.0,6683.285714285715
"(43069939, 42955172, 0)",0.0007308129019987677,GEO0C_Z_RWSTI344,Noord-Brabant,43069939.0,42955172.0,8126.214285714285
"(42880534, 42863897, 0)",0.00041506449395455595,GEO0C_Z_RWSTI349,Noord-Brabant,42880534.0,42863897.0,7714.071428571428
"(43555724, 43554432, 0)",0.27639140170459775,GEO0C_Z_RWSTI356573,Noord-Brabant,43555724.0,43554432.0,270.85714285714283
"(1706058788, 287930822, 0)",5.5329320675509996e-05,GEO0C_Z_RWSTI356933,Noord-Brabant,1706058788.0,287930822.0,727.0
"(1706058841, 2466713432, 0)",1.5062362242658024e-05,GEO0C_Z_RWSTI356935,Noord-Brabant,1706058841.0,2466713432.0,430.85714285714283
"(287930822, 1380975564, 0)",0.0003807674706095133,GEO0C_Z_RWSTI356937,Noord-Brabant,287930822.0,1380975564.0,3515.5
"(1380975578, 1706058841, 0)",7.125146066366398e-05,GEO0C_Z_RWSTI356940,Noord-Brabant,1380975578.0,1706058841.0,3442.0
"(1540813515, 42837199, 0)",0.0001274725913919235,GEO0C_Z_RWSTI356971,Noord-Brabant,1540813515.0,42837199.0,3390.9285714285716
"(42835839, 1540813705, 0)",5.716226208423352e-05,GEO0C_Z_RWSTI356972,Noord-Brabant,42835839.0,1540813705.0,3410.1428571428573
"(1540813515, 42837199, 0)",0.00010767565722628308,GEO0C_Z_RWSTI356973,Noord-Brabant,1540813515.0,42837199.0,3392.4285714285716
"(42748902, 42742401, 0)",0.006467471225817083,GEO0C_Z_RWSTI356983,Noord-Brabant,42748902.0,42742401.0,774.9285714285714
"(42790962, 42811416, 0)",9.610405275482315e-05,GEO0C_Z_RWSTI356987,Noord-Brabant,42790962.0,42811416.0,7958.571428571428
"(42830266, 42814267, 0)",1.6425530566390738e-05,GEO0C_Z_RWSTI356995,Noord-Brabant,42830266.0,42814267.0,7135.357142857143
"(42939407, 42937744, 0)",0.00024126717431916523,GEO0C_Z_RWSTI357400,Noord-Brabant,42939407.0,42937744.0,1862.2142857142858
"(43145041, 43109837, 0)",0.5010248688912675,GEO0C_Z_RWSTI357519,Noord-Brabant,43145041.0,43109837.0,3045.3571428571427
"(43345037, 43370379, 0)",0.0002510144903315779,GEO0C_Z_RWSTI357736,Noord-Brabant,43345037.0,43370379.0,6001.928571428572
"(804446798, 43078330, 0)",0.00038381225114013845,GEO0C_Z_RWSTI358019,Noord-Brabant,804446798.0,43078330.0,8700.357142857143
"(43091391, 2798986809, 0)",0.00021627697943296938,GEO0C_Z_RWSTI358164,Noord-Brabant,43091391.0,2798986809.0,6988.357142857143
"(43184343, 43197243, 0)",2.0451577394234446e-05,GEO0C_Z_RWSTI358224,Noord-Brabant,43184343.0,43197243.0,3343.785714285714
"(6787792357, 43210403, 0)",9.441439966447601e-05,GEO0C_Z_RWSTI358230,Noord-Brabant,6787792357.0,43210403.0,2012.5
"(43213394, 6787760631, 0)",0.046696143051096504,GEO0C_Z_RWSTI358231,Noord-Brabant,43213394.0,6787760631.0,2634.785714285714
"(42800412, 42772055, 0)",349.2372111869366,GEO0C_Z_RWSTI358300,Noord-Brabant,42800412.0,42772055.0,2864.285714285714
"(42943618, 42950000, 0)",0.00040746854164845647,GEO0C_Z_RWSTI358542,Noord-Brabant,42943618.0,42950000.0,528.2857142857143
"(42958465, 42945098, 0)",2.613303840841374e-06,GEO0C_Z_RWSTI358543,Noord-Brabant,42958465.0,42945098.0,961.7857142857143
"(43449774, 43439392, 0)",0.00022270632738407913,GEO0C_Z_RWSTI358544,Noord-Brabant,43449774.0,43439392.0,5157.785714285715
"(43438533, 43449640, 0)",0.17033197306999595,GEO0C_Z_RWSTI358545,Noord-Brabant,43438533.0,43449640.0,4859.857142857143
"(43438533, 43443266, 0)",0.0003570902384418677,GEO0C_Z_RWSTI358546,Noord-Brabant,43438533.0,43443266.0,1585.142857142857
"(43446368, 43439392, 0)",0.00015530999770958304,GEO0C_Z_RWSTI358547,Noord-Brabant,43446368.0,43439392.0,1132.7142857142858
"(42950072, 42952784, 0)",0.00032978450313825877,GEO0C_Z_RWSTI358557,Noord-Brabant,42950072.0,42952784.0,833.2142857142857
"(42953150, 42958369, 0)",2.4774286024320236,GEO0C_Z_RWSTI358559,Noord-Brabant,42953150.0,42958369.0,548.7857142857143
"(43444554, 43449640, 0)",0.9903945140033149,GEO0C_Z_RWSTI358560,Noord-Brabant,43444554.0,43449640.0,402.92857142857144
"(43449640, 43458983, 0)",1.9301630378303474,GEO0C_Z_RWSTI358581,Noord-Brabant,43449640.0,43458983.0,5261.642857142857
"(43449774, 43446368, 0)",0.0001127831849844462,GEO0C_Z_RWSTI358583,Noord-Brabant,43449774.0,43446368.0,552.4285714285714
"(43086733, 4007703796, 0)",9.901536896448939e-05,GEO0C_Z_RWSTI358642,Noord-Brabant,43086733.0,4007703796.0,1758.857142857143
"(43115824, 43102288, 0)",0.00030874409203687265,GEO0C_Z_RWSTI358647,Noord-Brabant,43115824.0,43102288.0,1226.2142857142858
"(43129957, 43115827, 0)",3.240251040585214e-05,GEO0C_Z_RWSTI358649,Noord-Brabant,43129957.0,43115827.0,2755.285714285714
"(43467863, 43485432, 0)",0.0002422642076260792,GEO0C_Z_RWSTI358654,Noord-Brabant,43467863.0,43485432.0,5235.285714285715
"(43145058, 43164378, 0)",2.0231241475266882e-06,GEO0C_Z_RWSTI358675,Noord-Brabant,43145058.0,43164378.0,1259.0714285714287
"(43164935, 43147630, 0)",1.562050984277511e-05,GEO0C_Z_RWSTI358676,Noord-Brabant,43164935.0,43147630.0,1214.5
"(43164874, 43176962, 0)",0.000114297594279419,GEO0C_Z_RWSTI358677,Noord-Brabant,43164874.0,43176962.0,2108.5
"(43485967, 43472957, 0)",0.0009428055251459853,GEO0C_Z_RWSTI358678,Noord-Brabant,43485967.0,43472957.0,5751.357142857143
"(43177289, 43165602, 0)",0.00037326411998244916,GEO0C_Z_RWSTI358697,Noord-Brabant,43177289.0,43165602.0,2622.4285714285716
"(43489823, 43510406, 0)",9.386555131043571e-05,GEO0C_Z_RWSTI358731,Noord-Brabant,43489823.0,43510406.0,3169.714285714286
"(2935132076, 43490235, 0)",0.0007195527238378343,GEO0C_Z_RWSTI358791,Noord-Brabant,2935132076.0,43490235.0,5298.0
"(43265327, 43278092, 0)",0.00015631250094490053,GEO0C_Z_RWSTI358852,Noord-Brabant,43265327.0,43278092.0,1458.7142857142858
"(43279851, 43268018, 0)",0.3538656339727329,GEO0C_Z_RWSTI358853,Noord-Brabant,43279851.0,43268018.0,1343.857142857143
"(766923323, 43286469, 0)",7.303305932959258e-05,GEO0C_Z_RWSTI358854,Noord-Brabant,766923323.0,43286469.0,1067.0714285714287
"(43286895, 851604292, 0)",0.5015011139800887,GEO0C_Z_RWSTI358858,Noord-Brabant,43286895.0,851604292.0,1312.2857142857142
"(43302008, 43292194, 0)",0.0010956652869471254,GEO0C_Z_RWSTI358874,Noord-Brabant,43302008.0,43292194.0,436.14285714285717
"(43291311, 43302200, 0)",0.0012219413378184141,GEO0C_Z_RWSTI358875,Noord-Brabant,43291311.0,43302200.0,291.35714285714283
"(43369190, 6928882669, 0)",0.003261646293078927,GEO0C_Z_RWSTI358878,Noord-Brabant,43369190.0,6928882669.0,2387.6428571428573
"(43359483, 6601520879, 0)",3.0423397246819968,GEO0C_Z_RWSTI358909,Noord-Brabant,43359483.0,6601520879.0,1252.642857142857
"(6601520865, 43379612, 0)",0.026820315406147516,GEO0C_Z_RWSTI358914,Noord-Brabant,6601520865.0,43379612.0,1414.4285714285713
"(43379553, 43369146, 0)",0.20784496709817857,GEO0C_Z_RWSTI358915,Noord-Brabant,43379553.0,43369146.0,1005.5
"(1558351066, 539251593, 0)",0.22701656367378306,GEO0C_Z_RWSTI358923,Noord-Brabant,1558351066.0,539251593.0,6614.571428571428
"(1558351066, 539251593, 0)",0.8393274654231409,GEO0C_Z_RWSTI358924,Noord-Brabant,1558351066.0,539251593.0,6587.071428571428
"(539251593, 43540440, 0)",0.1221808002162959,GEO0C_Z_RWSTI358925,Noord-Brabant,539251593.0,43540440.0,5715.714285714285
"(43693749, 43682847, 0)",0.00035835883345603046,GEO0C_Z_RWSTI358976,Noord-Brabant,43693749.0,43682847.0,990.0
"(43691679, 43706726, 0)",0.000525374500000833,GEO0C_Z_RWSTI359000,Noord-Brabant,43691679.0,43706726.0,430.7142857142857
"(43701437, 43694099, 0)",0.00024655743906663435,GEO0C_Z_RWSTI359003,Noord-Brabant,43701437.0,43694099.0,298.7142857142857
"(1562665272, 43802673, 0)",0.00010988072987725405,GEO0C_Z_RWSTI359046,Noord-Brabant,1562665272.0,43802673.0,826.9285714285714
"(43789807, 43800328, 0)",4.967842496467012e-05,GEO0C_Z_RWSTI359047,Noord-Brabant,43789807.0,43800328.0,469.14285714285717
"(1562665295, 43815077, 0)",0.00013895136256802267,GEO0C_Z_RWSTI359057,Noord-Brabant,1562665295.0,43815077.0,951.7857142857143
"(43815063, 1562665275, 0)",9.795817171583365e-05,GEO0C_Z_RWSTI359058,Noord-Brabant,43815063.0,1562665275.0,659.3571428571429
"(43884374, 43878207, 0)",2.2227987020097157e-05,GEO0C_Z_RWSTI359073,Noord-Brabant,43884374.0,43878207.0,6668.428571428572
"(43003681, 43003680, 0)",2.032012970900048,GEO0C_Z_RWSTI359100,Noord-Brabant,43003681.0,43003680.0,1524.0714285714287
"(43002883, 42999725, 0)",0.06754291101431577,GEO0C_Z_RWSTI359101,Noord-Brabant,43002883.0,42999725.0,1048.2857142857142
"(539251593, 43537326, 0)",0.2378182718627278,GEO0C_Z_RWSTI359104,Noord-Brabant,539251593.0,43537326.0,4088.3571428571427
"(42999655, 42998778, 0)",0.8374208425007538,GEO0C_Z_RWSTI359153,Noord-Brabant,42999655.0,42998778.0,1531.142857142857
"(43537326, 43540440, 0)",0.0003504602414524048,GEO0C_Z_RWSTI359154,Noord-Brabant,43537326.0,43540440.0,748.0714285714286
"(42999772, 43003490, 0)",0.00037098585856721716,GEO0C_Z_RWSTI359213,Noord-Brabant,42999772.0,43003490.0,1019.0714285714286
"(43550775, 43541142, 0)",0.25647182536649754,GEO0C_Z_RWSTI359214,Noord-Brabant,43550775.0,43541142.0,5512.142857142857
"(2777895505, 2777895481, 0)",0.0003075300805103812,GEO0C_Z_RWSTI359523,Noord-Brabant,2777895505.0,2777895481.0,1601.2142857142858
"(42954925, 42958923, 0)",3.431435820628956e-05,GEO0C_Z_RWSTI359558,Noord-Brabant,42954925.0,42958923.0,2763.285714285714
"(42966374, 42962139, 0)",0.00010051629231353928,GEO0C_Z_RWSTI359566,Noord-Brabant,42966374.0,42962139.0,1770.2857142857142
"(42961195, 42966013, 0)",1.7404649055295263e-05,GEO0C_Z_RWSTI359567,Noord-Brabant,42961195.0,42966013.0,3020.5714285714284
"(42960465, 42955286, 0)",3.603677995928098e-06,GEO0C_Z_RWSTI359593,Noord-Brabant,42960465.0,42955286.0,2020.2857142857142
"(43542009, 6455538995, 0)",0.6410265668167263,GEO0C_Z_RWSTI359636,Noord-Brabant,43542009.0,6455538995.0,1404.9285714285713
"(43543532, 43544873, 0)",0.0003050853678338848,GEO0C_Z_RWSTI359667,Noord-Brabant,43543532.0,43544873.0,1403.7857142857142
"(43075636, 1557654852, 0)",0.001228054435284841,GEO0C_Z_RWSTI359842,Noord-Brabant,43075636.0,1557654852.0,6029.857142857143
"(1550867300, 43106403, 0)",0.00015367002300057888,GEO0C_Z_RWSTI359869,Noord-Brabant,1550867300.0,43106403.0,832.8571428571429
"(42950657, 42945754, 0)",0.0002712140389822821,GEO0C_Z_RWSTI360033,Noord-Brabant,42950657.0,42945754.0,261.42857142857144
"(42944201, 42948746, 0)",0.0003495739849975216,GEO0C_Z_RWSTI360062,Noord-Brabant,42944201.0,42948746.0,331.14285714285717
"(42945754, 42943242, 0)",0.0003214347600467261,GEO0C_Z_RWSTI360063,Noord-Brabant,42945754.0,42943242.0,743.0714285714286
"(43549790, 413107191, 0)",0.00031437214182779174,GEO0C_Z_RWSTI360087,Noord-Brabant,43549790.0,413107191.0,610.2857142857143
"(413105219, 43542935, 0)",8.306028879583696e-06,GEO0C_Z_RWSTI360123,Noord-Brabant,413105219.0,43542935.0,1162.5714285714287
"(42361998, 42435701, 0)",1.6475215016254647,GEO0C_Z_RWSTI360142,Noord-Brabant,42361998.0,42435701.0,3081.6428571428573
"(7494649256, 6319312961, 0)",0.00019655035221125434,GEO0C_Z_RWSTI360220,Noord-Brabant,7494649256.0,6319312961.0,54.5
"(43549668, 43546096, 0)",0.000362520377046834,GEO0C_Z_RWSTI360221,Noord-Brabant,43549668.0,43546096.0,8324.857142857143
"(43547513, 43552539, 0)",0.0002981856683660006,GEO0C_Z_RWSTI360222,Noord-Brabant,43547513.0,43552539.0,10741.714285714286
"(43292178, 43305994, 0)",0.00018465788433323546,GEO0C_Z_RWSTI360244,Noord-Brabant,43292178.0,43305994.0,4442.214285714285
"(43292178, 43305994, 0)",4.036043307954813,GEO0C_Z_RWSTI360263,Noord-Brabant,43292178.0,43305994.0,4498.357142857143
"(43324214, 526063511, 0)",1.2884191880178437e-05,GEO0C_Z_RWSTI360264,Noord-Brabant,43324214.0,526063511.0,4349.357142857143
"(43334610, 1737484343, 0)",0.00020401071384463934,GEO0C_Z_RWSTI360289,Noord-Brabant,43334610.0,1737484343.0,4352.714285714285
"(1737484343, 43363316, 0)",0.00022521365018444812,GEO0C_Z_RWSTI360311,Noord-Brabant,1737484343.0,43363316.0,4234.5
"(43593907, 43606062, 0)",3.353508359292755e-07,GEO0C_Z_RWSTI360314,Noord-Brabant,43593907.0,43606062.0,1537.2142857142858
"(43586547, 43593540, 0)",0.0002242926713023417,GEO0C_Z_RWSTI360315,Noord-Brabant,43586547.0,43593540.0,1221.0714285714287
"(43597691, 43587236, 0)",2.1629835844681414e-05,GEO0C_Z_RWSTI360316,Noord-Brabant,43597691.0,43587236.0,783.8571428571429
"(1424430060, 42483541, 0)",0.6804993832281023,GEO0C_Z_RWSTI360350,Noord-Brabant,1424430060.0,42483541.0,4483.142857142857
"(43625801, 43625483, 0)",0.00035851621339814564,GEO0C_Z_RWSTI360393,Noord-Brabant,43625801.0,43625483.0,1633.4285714285713
"(43625537, 43631731, 0)",0.0003007394898680183,GEO0C_Z_RWSTI360408,Noord-Brabant,43625537.0,43631731.0,1821.2857142857142
"(9097948439, 43355615, 0)",0.0001215350106084351,GEO0C_Z_RWSTI360425,Noord-Brabant,9097948439.0,43355615.0,590.2857142857143
"(43388995, 43373642, 0)",0.00014891419993846554,GEO0C_Z_RWSTI360428,Noord-Brabant,43388995.0,43373642.0,1474.9285714285713
"(43347971, 43374024, 0)",8.772881195360888e-05,GEO0C_Z_RWSTI360467,Noord-Brabant,43347971.0,43374024.0,544.0
"(43616491, 43616857, 0)",0.00033419527605396053,GEO0C_Z_RWSTI360528,Noord-Brabant,43616491.0,43616857.0,2798.5
"(2773636668, 43620949, 0)",0.00016064889104274254,GEO0C_Z_RWSTI360539,Noord-Brabant,2773636668.0,43620949.0,2163.5
"(43076190, 43095149, 0)",3.0664140092144174e-05,GEO0C_Z_RWSTI360568,Noord-Brabant,43076190.0,43095149.0,948.4285714285714
"(43098504, 43076463, 0)",0.00011419409918901045,GEO0C_Z_RWSTI360570,Noord-Brabant,43098504.0,43076463.0,1319.857142857143
"(639304085, 43098163, 0)",0.19480911938918083,GEO0C_Z_RWSTI360571,Noord-Brabant,639304085.0,43098163.0,579.3571428571429
"(43095555, 43112935, 0)",0.00020805256728822892,GEO0C_Z_RWSTI360573,Noord-Brabant,43095555.0,43112935.0,724.2857142857143
"(2592166389, 8225984602, 0)",0.00036371158219219676,GEO0C_Z_RWSTI360596,Noord-Brabant,2592166389.0,8225984602.0,1020.9285714285714
"(1409103238, 1409103263, 0)",9.941242175745199e-05,GEO0C_Z_RWSTI360597,Noord-Brabant,1409103238.0,1409103263.0,895.1428571428571
"(1409103207, 1409103239, 0)",1.1147241144962714,GEO0C_Z_RWSTI360598,Noord-Brabant,1409103207.0,1409103239.0,1211.9285714285713
"(1409103210, 2794856249, 0)",0.0001385122838040049,GEO0C_Z_RWSTI360618,Noord-Brabant,1409103210.0,2794856249.0,635.0714285714286
"(1409103323, 1409103265, 0)",0.00011794648805243688,GEO0C_Z_RWSTI360631,Noord-Brabant,1409103323.0,1409103265.0,965.4285714285714
"(42898311, 42900969, 0)",0.0001308727942376812,GEO0C_Z_RWSTI360651,Noord-Brabant,42898311.0,42900969.0,730.8571428571429
"(2060532403, 42915817, 0)",0.1491046590804703,GEO0C_Z_RWSTI360654,Noord-Brabant,2060532403.0,42915817.0,986.2142857142857
"(42915523, 42898025, 0)",9.321756188354841e-05,GEO0C_Z_RWSTI360656,Noord-Brabant,42915523.0,42898025.0,549.4285714285714
"(42901355, 2060532398, 0)",0.3528591644230098,GEO0C_Z_RWSTI360665,Noord-Brabant,42901355.0,2060532398.0,204.71428571428572
"(42852024, 42837179, 0)",0.0003374584152301915,GEO0C_Z_RWSTI360717,Noord-Brabant,42852024.0,42837179.0,1426.9285714285713
"(42839016, 42852364, 0)",4.8111383677017885e-05,GEO0C_Z_RWSTI360740,Noord-Brabant,42839016.0,42852364.0,797.7857142857143
"(42561469, 42572925, 0)",0.00014079078922208516,GEO0C_Z_RWSTI360799,Noord-Brabant,42561469.0,42572925.0,2442.1428571428573
"(42572496, 566212785, 0)",0.000270368801658712,GEO0C_Z_RWSTI360801,Noord-Brabant,42572496.0,566212785.0,1175.142857142857
"(42573363, 766863337, 0)",0.00023430101191572935,GEO0C_Z_RWSTI360803,Noord-Brabant,42573363.0,766863337.0,2155.5
"(42585768, 42572944, 0)",0.00012575724581849137,GEO0C_Z_RWSTI360804,Noord-Brabant,42585768.0,42572944.0,2641.1428571428573
"(709291612, 2649775806, 0)",0.00021368391726375472,GEO0C_Z_RWSTI360812,Noord-Brabant,709291612.0,2649775806.0,390.92857142857144
"(2649775813, 1530414879, 0)",0.00026031333807446136,GEO0C_Z_RWSTI360816,Noord-Brabant,2649775813.0,1530414879.0,429.14285714285717
"(451613594, 42550100, 0)",0.0002628318483594824,GEO0C_Z_RWSTI360860,Noord-Brabant,451613594.0,42550100.0,1010.0714285714286
"(1530411980, 1530411988, 0)",0.00036225267684065386,GEO0C_Z_RWSTI360946,Noord-Brabant,1530411980.0,1530411988.0,1729.142857142857
"(42849792, 42865611, 0)",0.0002104775790580952,GEO0C_Z_RWSTI360958,Noord-Brabant,42849792.0,42865611.0,942.7857142857143
"(42865529, 42865346, 0)",8.459837369285503e-05,GEO0C_Z_RWSTI360960,Noord-Brabant,42865529.0,42865346.0,539.1428571428571
"(1409103201, 1409103781, 0)",0.0007801352260523664,GEO0C_Z_RWSTI360979,Noord-Brabant,1409103201.0,1409103781.0,4865.214285714285
"(43690246, 43681299, 0)",2.322978671138652e-05,GEO0C_Z_RWSTI360996,Noord-Brabant,43690246.0,43681299.0,6939.5
"(519959955, 709289724, 0)",0.00021610111188074058,GEO0C_Z_RWSTI361029,Noord-Brabant,519959955.0,709289724.0,4219.214285714285
